,C,R33,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
208,33,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
209,49,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
210,18,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
211,6,17,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
212,28,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
213,35,10,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
214,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
215,80,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
216,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
217,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
218,34,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
219,15,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
220,22,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
221,0,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
222,44,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
223,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
224,69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
225,30,70,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
226,26,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
227,75,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
228,1,75,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
229,17,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
230,49,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
231,13,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
232,6,75,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
233,61,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
234,7,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
235,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
236,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
237,27,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
238,10,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
239,14,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
240,70,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
241,0,64,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
242,58,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
243,4,58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
244,37,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
245,65,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
246,33,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
247,3,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
248,31,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
249,5,64,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
250,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
251,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
252,30,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
253,7,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
254,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
255,21,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
256,63,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
257,21,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
258,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
259,27,58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
260,3,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
261,45,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
262,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
263,22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
