,C,R75,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
295,11,1,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0
296,1,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0
297,0,0,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0
298,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
299,0,0,69,0,0,0,0,0,0,0,1,1,0,0,0,0,0
300,2,9,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0
301,7,3,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0
302,0,0,18,0,0,0,0,0,0,0,1,1,0,0,0,0,0
303,2,0,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0
304,14,16,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0
305,4,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
306,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
307,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
308,4,4,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0
309,0,14,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0
310,0,0,83,0,0,0,0,0,0,0,0,0,0,1,1,0,0
311,0,6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
312,0,0,44,0,0,0,0,0,0,0,1,1,0,0,0,0,0
313,0,1,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0
314,0,0,61,0,0,0,0,0,0,0,1,1,0,0,0,0,0
315,3,16,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0
316,0,6,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
317,3,0,87,0,0,0,0,0,0,0,0,0,0,1,1,0,0
318,4,7,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
319,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
320,3,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
321,2,0,70,0,0,0,0,0,0,0,0,0,0,1,1,0,0
322,3,1,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0
323,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
324,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
325,4,0,83,0,0,0,0,0,0,0,0,0,0,1,1,0,0
326,0,5,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0
327,0,1,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0
328,0,0,28,0,0,0,0,0,0,0,1,1,0,0,0,0,0
329,10,1,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0
330,0,0,41,0,0,0,0,0,0,0,1,1,0,0,0,0,0
331,1,0,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0
332,2,1,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0
333,0,0,74,0,0,0,0,0,0,0,0,0,0,1,1,0,0
