,F,C,R50
1583,0,100,0
1584,0,42,0
1585,3,69,0
1586,1,73,0
1587,0,100,0
1588,0,100,0
1589,0,50,0
1590,0,56,0
1591,0,86,0
1592,0,53,0
1593,0,99,0
1594,0,100,0
1595,0,85,0
1596,1,98,0
1597,0,65,2
1598,0,58,0
1599,0,17,12
1600,0,12,0
1601,2,14,1
1602,2,24,0
1603,9,21,0
1604,1,29,0
1605,2,52,1
1606,1,50,0
1607,0,28,2
1608,0,19,5
1609,0,33,2
1610,0,43,4
1611,3,42,0
1612,0,22,0
1613,0,11,17
1614,1,22,21
1615,1,13,0
1616,6,53,0
1617,0,89,0
1618,0,18,9
1619,3,1,1
1620,0,46,0
1621,5,7,4
1622,12,12,5
1623,0,1,1
1624,1,1,0
1625,0,33,0
1626,3,2,1
1627,0,48,1
1628,0,10,4
1629,1,25,10
1630,7,19,11
1631,0,8,3
1632,1,7,8
1633,0,1,1
1634,4,5,2
1635,8,12,1
1636,0,21,1
1637,0,1,3
1638,0,23,0
1639,2,18,18
1640,0,2,1
1641,0,5,5
1642,2,3,1
1643,0,44,0
1644,0,29,0
1645,0,36,5
1646,18,8,2
1647,1,25,2
1648,9,10,5
1649,0,14,0
1650,2,24,3
1651,1,7,0
1652,0,21,3
1653,0,44,1
1654,0,32,15
1655,6,41,1
1656,0,33,2
1657,0,24,14
1658,0,30,1
1659,6,55,0
1660,0,42,0
1661,0,38,0
