,R50,C,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
267,11,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
268,54,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
269,34,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
270,42,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
271,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
272,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
273,4,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
274,13,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
275,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
276,32,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
277,3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
278,19,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
279,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
280,4,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
281,6,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
