,F,C,R50
892,0,74,0
893,0,96,0
894,0,100,0
895,0,60,0
896,0,66,0
897,0,65,0
898,0,59,0
899,0,44,0
900,0,44,0
901,0,71,0
902,0,85,0
903,0,56,0
904,0,58,0
905,0,100,0
906,0,66,0
907,0,55,0
908,0,61,0
909,0,69,0
910,0,62,0
911,0,68,0
912,0,61,0
913,0,69,0
914,0,57,0
915,0,76,0
916,0,45,0
917,0,100,0
918,0,91,0
919,0,87,0
920,0,16,0
921,0,70,0
922,0,70,0
923,0,77,0
924,0,71,0
925,0,55,0
926,0,57,0
927,0,49,1
928,0,72,0
929,0,85,0
930,0,78,0
931,0,61,0
932,0,100,0
933,0,100,0
934,0,57,0
935,0,36,0
936,0,67,0
937,0,22,0
938,0,19,1
939,0,100,0
940,0,87,0
941,1,82,0
942,0,58,0
943,0,56,0
944,2,85,0
945,0,1,0
946,0,31,2
947,0,3,1
948,0,0,1
949,0,10,9
950,0,100,0
951,0,34,0
952,0,60,0
953,0,86,0
954,1,87,0
955,0,79,0
956,0,93,0
957,1,93,0
958,0,65,0
959,1,77,0
960,0,100,0
961,5,71,0
962,0,59,0
963,10,89,0
964,1,71,0
965,0,100,0
966,0,84,0
967,1,85,0
968,0,55,0
969,4,50,0
970,5,33,0
971,1,88,0
972,0,100,0
973,1,99,0
974,2,98,0
975,1,99,0
976,0,100,0
977,0,100,0
978,0,52,0
979,2,93,0
980,6,83,0
981,0,52,0
982,0,80,0
983,0,100,0
984,7,74,0
985,5,95,0
986,0,81,0
987,0,86,0
988,0,95,0
989,2,77,0
990,0,100,0
991,0,55,0
992,2,98,0
993,0,80,0
994,0,73,0
995,0,100,0
996,0,69,0
997,0,100,0
998,0,73,0
999,0,75,0
1000,0,71,0
1001,0,87,0
1002,0,65,0
1003,0,53,0
1004,0,50,0
1005,0,57,0
1006,0,55,0
1007,0,48,0
1008,0,65,0
1009,0,31,0
1010,0,44,0
1011,0,44,0
1012,0,63,0
1013,0,64,0
1014,0,51,0
1015,0,60,0
1016,0,94,0
1017,1,55,0
1018,0,100,0
1019,2,48,0
1020,0,53,0
1021,0,62,0
1022,0,36,0
1023,0,79,0
1024,0,40,0
1025,0,59,0
1026,0,52,0
1027,0,100,0
1028,0,46,0
1029,1,58,0
1030,0,88,0
1031,0,58,0
1032,0,54,0
1033,2,63,0
1034,0,82,0
1035,0,36,0
1036,0,82,0
1037,0,44,0
1038,0,61,0
1039,0,43,0
1040,0,77,0
1041,0,37,0
1042,0,16,0
1043,0,29,0
1044,0,52,0
1045,0,67,0
1046,0,72,0
1047,0,23,0
1048,0,84,0
1049,0,27,1
1050,7,52,0
1051,0,86,0
1052,0,62,0
1053,0,60,0
1054,0,48,0
1055,0,48,0
1056,0,21,0
1057,0,65,0
1058,0,97,0
1059,0,50,0
1060,0,77,0
1061,0,100,0
1062,6,43,0
1063,1,69,0
1064,1,38,0
1065,0,5,0
1066,1,91,0
1067,0,81,0
1068,0,64,0
1069,0,62,0
1070,14,52,0
1071,0,73,0
1072,0,79,0
1073,0,80,0
1074,0,57,0
1075,0,69,0
1076,0,97,0
1077,0,30,0
1078,0,86,0
1079,1,56,0
1080,0,65,0
1081,0,66,0
1082,0,50,0
1083,0,78,0
1084,0,65,0
1085,0,50,0
1086,0,51,0
1087,0,80,0
1088,3,46,0
1089,0,70,0
1090,0,56,0
1091,0,68,0
