,C,R50
1751,49,9
1752,90,0
1753,1,3
1754,1,0
1755,1,1
1756,13,10
1757,50,0
1758,40,0
1759,25,1
1760,22,12
1761,53,0
1762,33,4
1763,21,0
1764,23,0
1765,43,2
1766,8,5
1767,24,0
1768,0,36
1769,9,2
1770,4,4
1771,14,0
1772,0,1
1773,0,1
1774,6,0
1775,3,2
1776,37,0
1777,50,3
1778,41,0
1779,3,0
1780,31,0
1781,58,1
1782,28,1
1783,26,0
1784,35,4
1785,22,1
1786,41,0
1787,20,0
1788,4,3
1789,31,0
1790,22,1
1791,1,0
1792,3,2
1793,10,1
1794,1,7
1795,36,2
1796,31,0
1797,58,2
1798,2,5
1799,43,0
1800,2,6
1801,51,0
1802,23,1
1803,27,6
1804,13,12
1805,35,2
1806,2,5
1807,51,1
1808,35,0
1809,16,20
1810,0,3
1811,50,0
1812,20,15
1813,25,0
1814,47,2
1815,6,7
1816,26,3
1817,29,1
1818,22,10
1819,28,0
1820,9,3
1821,29,0
1822,40,4
1823,36,0
1824,45,0
1825,42,0
1826,13,5
1827,45,0
1828,3,1
1829,63,6
1830,33,0
1831,2,0
1832,58,1
1833,59,0
1834,28,3
1835,12,4
1836,27,7
1837,13,0
1838,36,0
1839,42,0
1840,8,0
1841,49,2
1842,37,11
1843,50,0
1844,31,25
1845,3,1
1846,21,1
1847,33,0
1848,5,0
1849,6,0
1850,62,0
1851,11,5
1852,25,5
1853,37,3
1854,30,1
1855,21,13
1856,14,0
1857,10,23
1858,24,9
1859,20,5
1860,18,2
1861,50,1
1862,23,3
1863,52,0
1864,17,4
1865,7,11
1866,42,3
1867,10,1
1868,6,0
1869,22,0
1870,5,24
1871,2,8
1872,13,56
1873,19,1
1874,1,0
1875,41,0
1876,33,0
1877,25,1
1878,30,0
1879,36,1
1880,43,0
1881,89,0
1882,45,28
1883,61,9
1884,13,83
1885,26,26
1886,82,0
1887,63,21
1888,64,1
1889,22,27
1890,64,0
1891,4,27
1892,69,1
1893,15,1
1894,58,29
1895,15,15
1896,73,0
1897,47,2
1898,85,0
1899,44,0
1900,14,35
1901,94,6
1902,74,0
1903,71,0
1904,22,1
1905,65,0
1906,14,5
1907,1,1
1908,51,0
1909,7,6
1910,2,0
1911,95,2
1912,25,1
1913,40,0
1914,52,7
1915,52,0
1916,41,0
1917,92,8
1918,98,2
1919,45,33
1920,51,5
1921,85,8
1922,36,25
1923,97,0
1924,94,1
1925,2,1
1926,15,2
1927,3,15
1928,4,6
1929,2,7
1930,13,3
1931,13,9
1932,78,0
1933,45,18
1934,94,6
1935,34,4
1936,60,1
1937,71,0
1938,37,28
1939,94,3
1940,100,0
1941,50,1
1942,73,5
1943,46,0
1944,52,4
1945,73,0
1946,82,0
1947,100,0
1948,100,0
1949,58,3
1950,40,3
1951,22,15
1952,10,8
1953,1,5
1954,59,2
1955,5,5
1956,67,0
1957,64,1
1958,16,10
1959,0,14
1960,99,1
1961,79,1
1962,87,0
1963,29,3
1964,44,0
1965,52,1
1966,77,0
1967,89,1
1968,56,0
1969,82,0
1970,43,7
1971,48,40
1972,29,7
1973,77,0
1974,74,2
1975,58,0
1976,100,0
1977,0,65
1978,17,2
1979,46,0
1980,48,0
1981,48,14
1982,54,1
1983,66,1
1984,100,0
1985,22,0
1986,0,42
1987,10,1
1988,18,3
1989,40,0
1990,12,11
1991,3,5
1992,0,7
1993,15,15
1994,62,4
1995,9,42
1996,29,11
1997,1,21
1998,2,21
1999,6,4
2000,17,3
2001,11,10
2002,14,0
2003,41,1
2004,1,1
2005,5,15
2006,17,9
2007,25,4
2008,4,1
2009,7,0
2010,12,12
2011,36,4
2012,9,9
2013,3,1
2014,21,1
2015,42,2
2016,5,7
2017,13,15
2018,2,16
2019,9,3
2020,34,0
2021,1,0
2022,24,4
2023,5,24
2024,2,44
2025,2,33
2026,52,4
2027,28,19
2028,19,1
2029,3,9
2030,0,12
2031,13,5
2032,1,31
2033,6,1
2034,6,7
2035,8,2
2036,3,42
2037,0,17
2038,42,1
2039,6,36
2040,61,0
2041,3,19
2042,17,8
2043,9,8
2044,33,8
2045,32,0
2046,0,2
2047,7,1
2048,18,2
2049,24,2
2050,3,1
2051,12,1
2052,6,4
2053,21,15
2054,13,28
2055,41,9
2056,7,0
2057,19,0
2058,2,2
2059,9,13
2060,81,0
2061,15,0
2062,50,4
2063,5,0
2064,7,9
2065,6,2
2066,21,1
2067,19,3
2068,25,2
2069,40,0
2070,0,22
2071,2,22
2072,0,14
2073,45,4
2074,23,9
2075,46,12
2076,20,29
2077,0,31
2078,13,39
2079,35,13
2080,0,28
2081,39,17
2082,2,41
2083,2,9
2084,9,11
2085,36,4
2086,45,9
