,C,R50
1838,89,0
1839,2,2
1840,55,11
1841,46,0
1842,11,31
1843,57,0
1844,67,28
1845,59,23
1846,75,2
1847,0,1
1848,72,0
1849,82,0
1850,21,49
1851,43,43
1852,18,35
1853,54,34
1854,69,17
1855,95,3
1856,62,10
1857,58,2
1858,68,1
1859,70,5
1860,75,0
1861,73,0
1862,52,0
1863,61,0
1864,16,39
1865,36,21
1866,3,50
1867,10,74
1868,42,4
1869,83,0
1870,94,2
1871,92,1
1872,35,29
1873,29,22
1874,13,31
1875,80,0
1876,99,0
1877,95,0
1878,74,22
1879,71,7
1880,16,50
1881,22,7
1882,6,38
1883,67,18
1884,48,34
1885,36,2
1886,19,38
1887,36,16
1888,39,18
1889,7,26
1890,19,31
1891,68,17
1892,68,0
1893,64,0
1894,17,26
1895,0,2
1896,1,36
1897,26,34
1898,7,53
1899,0,60
1900,24,35
1901,54,0
1902,87,0
1903,3,84
1904,39,11
1905,52,3
1906,33,9
1907,27,44
1908,18,68
1909,56,10
1910,29,28
1911,59,0
1912,73,0
1913,64,0
1914,11,68
1915,60,18
1916,6,68
1917,43,12
1918,6,1
1919,43,28
1920,7,66
1921,11,72
1922,16,59
1923,3,41
1924,62,3
1925,44,13
1926,7,74
1927,37,35
1928,3,77
1929,4,83
1930,2,2
1931,74,15
1932,5,69
1933,2,78
1934,52,16
1935,12,70
1936,0,55
1937,0,20
1938,4,0
1939,1,0
1940,8,0
1941,9,2
1942,18,3
1943,2,12
1944,49,0
1945,5,0
1946,0,1
1947,7,0
1948,20,0
1949,9,0
1950,1,0
1951,34,0
1952,34,0
1953,25,0
1954,27,0
1955,32,0
1956,38,0
1957,13,0
1958,24,0
1959,34,0
1960,2,0
1961,3,1
1962,20,0
1963,18,0
1964,12,0
1965,0,1
1966,0,86
1967,61,2
1968,41,7
1969,62,3
1970,61,12
1971,62,0
1972,38,14
1973,12,0
1974,41,2
1975,65,8
1976,77,0
1977,79,0
1978,43,0
1979,25,6
1980,56,1
1981,53,9
1982,33,0
1983,33,38
1984,18,31
1985,27,21
1986,22,5
1987,62,3
1988,32,11
1989,71,2
1990,83,0
1991,31,9
1992,31,10
1993,2,16
1994,41,0
1995,29,15
1996,40,0
1997,44,22
1998,59,9
1999,74,0
2000,0,48
2001,14,1
2002,1,1
2003,30,0
2004,15,0
2005,31,0
2006,10,0
2007,31,0
2008,2,1
2009,0,1
2010,0,2
2011,49,0
2012,27,0
2013,4,0
2014,1,0
2015,29,0
2016,2,2
2017,14,0
2018,54,0
2019,32,0
2020,30,0
2021,3,0
2022,1,0
2023,30,0
2024,18,0
2025,44,0
2026,54,7
2027,44,15
2028,1,51
2029,56,0
2030,62,0
2031,48,3
2032,84,0
2033,83,8
2034,36,24
2035,41,21
2036,0,100
2037,45,2
2038,43,12
2039,37,10
2040,60,0
2041,27,13
2042,49,0
2043,22,2
2044,42,29
2045,20,31
2046,52,8
2047,74,0
2048,27,13
2049,60,6
2050,26,14
2051,6,57
2052,41,0
2053,10,6
2054,12,31
2055,63,1
2056,57,0
2057,17,30
2058,60,2
2059,2,2
2060,6,1
2061,5,0
2062,1,1
2063,56,2
2064,29,55
2065,11,78
2066,5,88
2067,0,71
2068,59,9
2069,17,0
2070,43,28
2071,10,62
2072,12,65
2073,18,0
2074,46,36
2075,78,7
2076,49,29
2077,6,0
2078,4,2
2079,0,88
2080,4,75
2081,66,7
2082,22,33
2083,39,39
2084,1,85
2085,17,40
2086,6,33
2087,42,28
2088,4,1
2089,39,31
2090,34,33
2091,3,82
2092,8,2
2093,12,0
2094,0,44
2095,1,0
2096,11,67
2097,43,26
2098,27,72
2099,3,77
2100,28,41
2101,26,42
2102,0,46
2103,1,73
2104,15,83
2105,21,0
2106,42,44
2107,93,0
2108,4,84
2109,15,2
2110,27,0
2111,4,0
2112,19,0
2113,15,3
2114,19,0
2115,8,0
2116,12,0
2117,3,59
2118,37,42
2119,48,41
2120,14,65
2121,65,30
2122,48,15
2123,2,2
2124,14,25
2125,40,38
2126,26,29
2127,18,81
2128,43,0
2129,1,0
2130,15,0
2131,1,0
2132,10,0
2133,1,1
2134,12,0
2135,3,19
2136,14,0
2137,18,0
