,F,C,R75
1348,1,0,0
1349,0,2,1
1350,0,0,21
1351,1,73,19
1352,0,0,39
1353,0,0,2
1354,0,37,5
1355,0,46,25
1356,0,46,0
1357,0,94,0
1358,0,21,3
1359,0,85,2
1360,1,71,1
1361,0,96,0
1362,0,80,12
1363,0,50,0
1364,0,0,6
1365,0,12,57
1366,0,51,13
1367,0,50,0
1368,0,50,0
1369,0,42,6
1370,0,95,0
1371,0,69,19
1372,0,77,14
1373,0,32,47
1374,0,41,0
1375,0,5,0
1376,0,14,5
1377,0,100,0
1378,0,0,2
1379,0,0,1
1380,0,0,24
1381,0,38,0
1382,0,0,1
1383,1,0,2
1384,0,0,7
1385,0,75,0
1386,0,0,40
1387,0,0,1
1388,0,77,2
1389,0,51,0
1390,0,92,2
1391,0,16,0
1392,0,89,0
1393,1,82,1
1394,1,41,2
1395,0,98,0
1396,0,86,0
1397,0,2,33
1398,0,74,0
1399,0,39,12
1400,0,70,0
1401,0,80,0
1402,0,100,0
1403,0,74,0
1404,0,88,0
1405,0,38,50
1406,0,92,0
1407,0,64,3
1408,0,37,0
1409,0,61,39
1410,0,50,20
1411,0,45,0
1412,7,1,3
1413,0,0,2
1414,0,1,1
1415,0,0,1
1416,1,0,5
1417,1,0,0
1418,0,0,52
1419,0,0,34
1420,0,8,60
1421,1,1,25
1422,0,6,33
1423,1,11,40
1424,0,1,0
1425,0,12,10
1426,29,13,1
1427,1,0,1
1428,8,75,7
1429,1,2,7
1430,0,15,66
1431,0,15,21
1432,0,0,27
1433,0,46,46
1434,0,9,21
1435,1,46,37
1436,0,2,69
1437,0,7,35
1438,0,2,0
1439,0,0,19
1440,1,33,3
1441,0,31,20
1442,0,52,16
1443,0,30,57
1444,1,2,1
1445,1,78,14
1446,0,13,0
1447,1,13,28
1448,0,9,62
1449,1,8,82
1450,0,4,33
1451,0,0,1
1452,5,1,11
1453,1,8,6
1454,0,2,12
1455,1,52,29
1456,0,0,50
1457,0,6,7
1458,0,17,45
1459,0,0,64
1460,0,7,5
1461,24,0,2
1462,0,23,1
1463,0,0,1
1464,0,85,0
1465,0,8,21
1466,0,69,8
1467,0,5,48
1468,0,0,99
1469,0,1,1
1470,0,20,10
1471,0,55,3
1472,0,17,75
1473,6,5,0
1474,0,99,0
1475,13,30,4
1476,0,0,22
1477,0,9,35
1478,0,0,51
1479,5,41,5
1480,0,5,60
1481,5,41,3
1482,0,0,5
1483,0,0,1
1484,0,2,90
1485,1,41,18
1486,0,5,63
1487,0,35,29
1488,0,0,71
1489,1,7,4
1490,0,89,2
1491,1,37,0
1492,1,3,57
1493,0,1,74
1494,3,58,4
1495,0,6,48
1496,0,2,58
1497,0,17,49
1498,1,23,7
1499,0,1,43
1500,0,0,1
1501,0,16,12
1502,0,26,31
1503,4,8,16
1504,0,17,40
1505,1,2,21
1506,2,23,1
1507,0,19,77
1508,0,3,8
1509,3,6,89
1510,1,10,2
1511,0,0,67
1512,0,28,48
1513,0,28,8
1514,0,10,28
1515,0,21,1
1516,2,13,21
1517,7,54,0
1518,0,17,49
1519,0,4,59
1520,0,19,28
1521,0,8,39
1522,0,2,1
1523,0,4,40
1524,0,0,73
1525,0,0,65
1526,0,2,77
1527,1,19,66
1528,0,12,19
1529,0,1,1
1530,1,0,0
1531,18,77,0
1532,2,1,1
1533,0,0,1
1534,0,0,50
1535,1,6,80
1536,0,39,13
1537,1,6,93
1538,0,1,43
1539,0,0,99
1540,0,1,25
1541,5,51,0
1542,1,33,19
1543,1,0,0
1544,0,94,0
1545,3,63,1
1546,1,36,9
1547,1,8,40
1548,0,3,69
1549,0,38,26
1550,0,26,30
1551,0,40,43
1552,1,22,43
1553,1,0,57
1554,0,4,52
1555,0,3,58
1556,0,2,0
1557,0,23,7
1558,0,0,87
1559,1,12,71
1560,11,37,33
1561,0,50,13
1562,0,5,41
1563,0,2,27
1564,0,12,53
1565,1,2,7
1566,0,75,0
1567,10,9,2
1568,4,1,0
1569,1,3,28
1570,0,12,12
1571,0,29,58
1572,0,5,45
1573,0,3,6
1574,0,31,42
1575,0,27,0
1576,6,61,1
1577,9,2,0
1578,0,13,56
1579,0,84,5
1580,0,27,51
1581,0,7,66
1582,0,6,63
1583,0,35,23
1584,1,63,0
1585,0,42,24
1586,0,3,55
1587,0,17,72
1588,0,8,88
